City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Kulhudhuffushi,MV,2022-06-13 22:05:33,6.6221,73.07,82.8,76,100,11.63
120,Muscat,OM,2022-06-13 22:05:34,23.6139,58.5922,87.82,77,1,10.87
121,Sao Filipe,CV,2022-06-13 22:05:34,14.8961,-24.4956,74.95,73,18,10.07
122,Lata,PT,2022-06-13 22:05:34,40.1629,-8.3327,67.32,79,3,1.07
123,Marshall,US,2022-06-13 22:05:35,34.3834,-86.3333,94.39,56,0,8.05
124,Avarua,CK,2022-06-13 22:03:03,-21.2078,-159.775,82.45,69,99,9.22
125,Kingisepp,RU,2022-06-13 22:05:35,59.3733,28.6134,49.46,95,48,0.74
126,Qaanaaq,GL,2022-06-13 22:05:36,77.484,-69.3632,30.04,73,36,2.77
127,Taltal,CL,2022-06-13 22:05:36,-25.4,-70.4833,57.51,85,71,3.78
128,Les Cayes,HT,2022-06-13 22:05:36,18.2,-73.75,83.75,67,92,9.89
129,Labuhan,ID,2022-06-13 22:05:37,-6.8844,112.2051,77.05,86,100,5.97
130,Raga,SS,2022-06-13 22:05:37,8.4596,25.678,70.56,91,97,4.45
131,Kindu,CD,2022-06-13 22:05:37,-2.95,25.95,71.26,84,96,0.78
132,Barrow,US,2022-06-13 22:00:37,71.2906,-156.7887,35.62,80,75,17.27
133,Madaoua,NE,2022-06-13 22:05:38,14.073,5.96,98.29,19,76,3.89
134,San Juan,AR,2022-06-13 22:03:04,-31.5375,-68.5364,57.04,38,96,6.49
135,Conceicao Do Araguaia,BR,2022-06-13 22:01:28,-8.2578,-49.2647,80.49,65,100,2.24
136,Lohja,FI,2022-06-13 22:05:38,60.2486,24.0653,52.38,100,28,4.47
137,Butaritari,KI,2022-06-13 22:05:39,3.0707,172.7902,81.18,77,18,13.35
138,Bushehr,IR,2022-06-13 22:06:39,28.9684,50.8385,86.22,55,0,2.04
139,Morros,BR,2022-06-13 22:06:40,-9.4467,-46.3003,79.7,54,93,1.32
140,Longyearbyen,SJ,2022-06-13 22:06:40,78.2186,15.6401,40.84,70,75,3.44
141,Severo-Kurilsk,RU,2022-06-13 22:06:40,50.6789,156.125,45.1,91,99,13.11
142,Coihaique,CL,2022-06-13 22:04:09,-45.5752,-72.0662,43.41,87,75,3.44
143,Skibotn,NO,2022-06-13 22:06:41,69.3913,20.2679,48.16,91,100,2.35
144,Andros Town,BS,2022-06-13 22:06:41,24.7,-77.7667,85.96,70,3,13.44
145,Caravelas,BR,2022-06-13 22:06:42,-17.7125,-39.2481,72.45,74,100,11.5
146,Mponela,MW,2022-06-13 22:06:42,-13.5319,33.7401,55.92,61,37,6.02
147,Kahului,US,2022-06-13 22:05:55,20.8947,-156.47,87.82,62,20,21.85
148,Chapais,CA,2022-06-13 22:02:46,49.7834,-74.8492,63.93,64,99,5.84
149,Lavrentiya,RU,2022-06-13 22:06:43,65.5833,-171.0,38.25,65,100,10.89
150,Yangambi,CD,2022-06-13 22:06:43,0.8102,24.4336,69.39,98,99,2.26
151,Ambilobe,MG,2022-06-13 22:06:43,-13.2,49.05,68.54,88,7,3.02
152,Ocampo,MX,2022-06-13 22:06:44,21.65,-101.5,75.15,28,28,4.5
153,Sukhothai,TH,2022-06-13 22:02:12,17.25,99.6667,78.13,80,100,2.59
154,Vardo,NO,2022-06-13 22:06:44,70.3705,31.1107,46.38,76,100,4.61
155,Atambua,ID,2022-06-13 22:06:45,-9.1061,124.8925,70.43,87,65,5.12
156,Yemelyanovo,RU,2022-06-13 22:06:45,56.1681,92.6767,52.61,93,0,0.0
157,Conde,BR,2022-06-13 22:06:45,-7.2597,-34.9075,73.65,86,6,6.64
158,Ust-Nera,RU,2022-06-13 22:06:46,64.5667,143.2,48.51,90,100,1.66
159,Yanam,IN,2022-06-13 22:06:46,16.7333,82.2167,83.64,72,97,4.0
160,Amos,CA,2022-06-13 22:06:46,48.5669,-78.1162,65.7,70,84,5.06
161,Tuatapere,NZ,2022-06-13 22:06:47,-46.1333,167.6833,42.82,77,89,21.14
162,Olafsvik,IS,2022-06-13 22:06:47,64.8945,-23.7142,50.41,94,100,16.35
163,Bonthe,SL,2022-06-13 22:06:47,7.5264,-12.505,79.52,80,98,8.3
164,Kashi,CN,2022-06-13 22:06:48,39.4547,75.9797,76.82,26,94,10.38
165,Pitimbu,BR,2022-06-13 22:06:48,-7.4706,-34.8086,77.07,80,5,8.12
166,Boksitogorsk,RU,2022-06-13 22:06:48,59.474,33.8485,52.02,80,48,3.06
167,Hirara,JP,2022-06-13 22:06:49,24.8,125.2833,82.67,89,75,14.97
168,Kudymkar,RU,2022-06-13 22:06:49,59.0173,54.656,46.89,74,60,3.11
169,Itarema,BR,2022-06-13 22:06:49,-2.9248,-39.9167,78.58,77,3,13.65
170,Klaksvik,FO,2022-06-13 22:06:50,62.2266,-6.589,49.12,96,100,12.28
171,Daugavpils,LV,2022-06-13 22:06:50,55.8833,26.5333,54.14,96,100,0.89
172,Nueva Concepcion,GT,2022-06-13 22:06:51,14.2,-91.3,83.23,76,89,8.34
173,Rosarito,MX,2022-06-13 22:06:51,32.3333,-117.0333,76.62,65,14,9.64
174,Naze,JP,2022-06-13 22:06:51,28.3667,129.4833,76.24,87,100,20.27
175,North Platte,US,2022-06-13 22:06:52,41.1239,-100.7654,108.12,11,0,21.85
176,Najran,SA,2022-06-13 22:06:52,17.4924,44.1277,81.05,30,9,3.02
177,Morondava,MG,2022-06-13 22:06:52,-20.2833,44.2833,70.11,64,3,6.73
178,Vestmannaeyjar,IS,2022-06-13 22:06:53,63.4427,-20.2734,49.93,98,100,18.03
179,Show Low,US,2022-06-13 22:06:53,34.2542,-110.0298,85.66,17,0,33.38
180,Atar,MR,2022-06-13 22:06:53,20.5169,-13.0499,94.66,26,53,13.42
181,Aasiaat,GL,2022-06-13 22:06:54,68.7098,-52.8699,33.76,76,22,13.71
182,Fortuna,US,2022-06-13 22:06:54,40.5982,-124.1573,62.92,64,20,19.57
183,Fomboni,KM,2022-06-13 22:06:54,-12.28,43.7425,77.68,70,7,11.01
184,Cayenne,GF,2022-06-13 22:06:45,4.9333,-52.3333,77.09,1,75,8.05
185,Ginda,IN,2022-06-13 22:07:55,30.6945,78.4932,67.84,41,1,6.85
186,Lamu,KE,2022-06-13 22:07:55,-2.2717,40.902,77.22,79,91,13.98
187,East London,ZA,2022-06-13 22:07:56,-33.0153,27.9116,77.7,31,100,16.98
188,Yellowknife,CA,2022-06-13 22:03:16,62.456,-114.3525,67.59,39,17,7.76
