City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Khatanga,RU,71.9667,102.5,58.39,45,48,12.55,scattered clouds
163,Altona,DE,53.55,9.9333,51.08,89,75,4.61,broken clouds
164,Gamba,GA,-2.65,10.0,72.72,91,100,4.36,overcast clouds
165,Provideniya,RU,64.3833,-173.3,35.71,87,100,13.42,overcast clouds
166,Ketchikan,US,55.3422,-131.6461,55.15,78,89,3.4,overcast clouds
167,Morshansk,RU,53.4435,41.8107,60.17,74,9,4.14,clear sky
168,Srednekolymsk,RU,67.45,153.6833,73.74,21,0,14.61,clear sky
169,Warrnambool,AU,-38.3833,142.4833,54.81,59,95,16.06,overcast clouds
170,Coquimbo,CL,-29.9533,-71.3436,51.53,81,100,2.3,overcast clouds
171,Bosobolo,CD,4.1833,19.9,69.93,98,100,0.65,overcast clouds
172,Kodiak,US,57.79,-152.4072,47.71,93,100,10.36,smoke
173,Mehamn,NO,71.0357,27.8492,42.75,81,75,9.22,broken clouds
174,Uruzgan,AF,32.8333,66.0,79.07,13,0,5.66,clear sky
175,Komsomolskiy,UZ,40.4272,71.7189,74.12,43,22,4.61,few clouds
176,Sakakah,SA,29.9697,40.2064,77.43,38,0,9.04,clear sky
177,Henties Bay,NA,-22.116,14.2845,57.88,85,2,5.39,clear sky
178,Zhigansk,RU,66.7697,123.3711,61.18,53,19,7.54,few clouds
179,Asau,RO,46.4333,26.4,61.72,92,71,2.01,broken clouds
180,Saldanha,ZA,-33.0117,17.9442,57.31,79,71,21.68,moderate rain
181,Mount Gambier,AU,-37.8333,140.7667,56.43,58,92,14.07,overcast clouds
182,Naranjal,EC,-2.6667,-79.6167,72.1,90,98,2.59,overcast clouds
183,Smirnykh,RU,49.75,142.8333,74.3,48,72,4.03,broken clouds
184,Aquiraz,BR,-3.9014,-38.3911,81.18,83,2,11.18,clear sky
185,Lasa,IT,46.6166,10.7002,52.36,79,0,3.71,clear sky
186,Bathsheba,BB,13.2167,-59.5167,79.41,83,20,16.11,few clouds
187,Faya,SA,18.3851,42.4509,68.52,25,1,12.1,clear sky
188,Melville,US,40.7934,-73.4151,77.16,75,0,5.01,clear sky
189,Eyl,SO,7.9803,49.8164,80.74,59,78,26.57,broken clouds
